sensor_index,sensor_id,timestamp_since_poweron,real_time_clock,temperature,pressure,relative_humidity,resistance_gassensor,heater_profile_step_index,scanning_mode_enabled,label_tag,error_code
7,1903382597,13256,1642222182,36.513515,991.60675,33.525505,196131.0156,7,1,0,0
2,1903386950,13796,1642222182,36.521942,991.711548,34.227428,298020.9688,8,1,0,0
4,1903401543,13804,1642222182,36.734501,991.515686,33.924492,686557.1875,8,1,0,0
0,1903370310,13900,1642222182,35.884224,991.881226,35.417923,402199.5313,8,1,0,0
1,1903376405,13933,1642222182,36.125511,992.154602,35.821651,556219.4375,8,1,0,0
3,1903384649,13940,1642222182,36.869255,991.885071,34.095547,555766.625,8,1,0,0
5,1903406917,13948,1642222182,36.613243,991.711853,34.20253,595521.9375,8,1,0,0
6,1903394118,13952,1642222182,37.275169,991.562927,33.303509,305762.9063,8,1,0,0
7,1903382597,13956,1642222182,36.966465,991.648499,33.553764,278563.6563,8,1,0,0
1,1903376405,14505,1642222183,36.336945,992.17981,35.510677,656199.9375,9,0,0,0
2,1903386950,14521,1642222183,36.736923,991.704407,34.004196,362221.4375,9,0,0,0
4,1903401543,14539,1642222183,36.957741,991.505737,33.63036,815448.9375,9,0,0,0
5,1903406917,14555,1642222183,36.848732,991.745972,33.974983,707182.3125,9,0,0,0
6,1903394118,14572,1642222183,37.51368,991.520386,32.990074,364542.5313,9,0,0,0
7,1903382597,14588,1642222183,37.200573,991.64856,33.200409,336178.5938,9,0,0,0
0,1903370310,14612,1642222183,36.056,991.865295,35.129864,475615.4063,9,0,0,0
3,1903384649,14677,1642222183,37.091469,991.85498,33.769798,675016.5,9,0,0,0
4,1903401543,15319,1642222184,37.153389,991.540771,33.247608,940096.375,0,1,0,0
0,1903370310,15329,1642222184,36.197464,991.894348,34.68642,542948.0625,0,1,0,0
1,1903376405,15455,1642222184,36.495522,992.167114,35.097118,743375.6875,0,1,0,0
2,1903386950,15459,1642222184,36.891205,991.704651,33.611851,431976.375,0,1,0,0
5,1903406917,15465,1642222184,37.0266,991.728394,33.53064,804873.25,0,1,0,0
6,1903394118,15469,1642222184,37.724575,991.550903,32.616257,424720.0313,0,1,0,0
7,1903382597,15473,1642222184,37.406689,991.656067,32.850567,399142.4688,0,1,0,0
3,1903384649,15521,1642222184,37.31115,991.889832,33.426853,780041.875,0,1,0,0
2,1903386950,15599,1642222184,36.511826,991.799561,33.445644,47784176,1,1,0,0
4,1903401543,15603,1642222184,36.759583,991.555298,33.070522,102400000,1,1,0,0
0,1903370310,15615,1642222184,35.795811,991.932739,34.568821,72858256,1,1,0,0
1,1903376405,15736,1642222184,36.062584,992.187927,34.91465,102400000,1,1,0,0
5,1903406917,15745,1642222184,36.625771,991.759277,33.342228,102400000,1,1,0,0
6,1903394118,15749,1642222184,37.34547,991.662476,32.422394,75961752,1,1,0,0
7,1903382597,15753,1642222184,37.009724,991.738098,32.597549,45166092,1,1,0,0
3,1903384649,15801,1642222184,36.86673,991.914429,33.110447,102400000,1,1,0,0
1,1903376405,16995,1642222185,35.151405,992.158813,34.313419,102400000,2,1,0,0
2,1903386950,16999,1642222185,35.558323,991.7146,32.835068,44072628,2,1,0,0
4,1903401543,17003,1642222185,35.836525,991.493164,32.476391,102400000,2,1,0,0
7,1903382597,17012,1642222185,36.101284,991.619812,32.077236,40819684,2,1,0,0
0,1903370310,17017,1642222185,34.929352,991.899719,33.989868,67877784,2,1,0,0
5,1903406917,17147,1642222185,35.68383,991.736877,32.726765,102400000,2,1,0,0
6,1903394118,17151,1642222185,36.444157,991.588013,31.792141,68624080,2,1,0,0
3,1903384649,17201,1642222186,35.876892,991.892334,32.316566,102400000,2,1,0,0
1,1903376405,21195,1642222190,35.063309,992.134094,33.759537,102400000,3,1,0,0
2,1903386950,21199,1642222190,35.464745,991.718628,32.306755,38755764,3,1,0,0
4,1903401543,21203,1642222190,35.81144,991.48175,31.921974,102400000,3,1,0,0
5,1903406917,21207,1642222190,35.643745,991.714294,32.208878,102400000,3,1,0,0
7,1903382597,21215,1642222190,36.192894,991.627808,31.450186,34611036,3,1,0,0
0,1903370310,21218,1642222190,34.919247,991.880066,33.49437,59959744,3,1,0,0
6,1903394118,21350,1642222190,36.547092,991.594482,31.181599,50008392,3,1,0,0
3,1903384649,21401,1642222190,35.700138,991.857849,31.955837,102400000,3,1,0,0
1,1903376405,21895,1642222190,35.760536,992.149902,33.795666,6053574.5,4,1,0,0
2,1903386950,21899,1642222190,36.117271,991.680298,32.352913,2609748.25,4,1,0,0
4,1903401543,21903,1642222190,36.538849,991.514038,31.980803,7184389.5,4,1,0,0
5,1903406917,21907,1642222190,36.352707,991.747192,32.20433,6915998.5,4,1,0,0
7,1903382597,21914,1642222190,36.897758,991.621643,31.465979,2409411.75,4,1,0,0
0,1903370310,21918,1642222190,35.593719,991.871704,33.538486,3596926.5,4,1,0,0
6,1903394118,22050,1642222190,37.265129,991.574768,31.198158,2692080.25,4,1,0,0
3,1903384649,22101,1642222190,36.42231,991.84613,32.008366,5651604,4,1,0,0
1,1903376405,22595,1642222191,36.027344,992.14563,33.743126,5553898.5,5,1,0,0
2,1903386950,22600,1642222191,36.387894,991.72522,32.298557,2433026.5,5,1,0,0
4,1903401543,22603,1642222191,36.837341,991.527405,31.89588,6695545.5,5,1,0,0
5,1903406917,22607,1642222191,36.653328,991.739563,32.137585,6416291.5,5,1,0,0
7,1903382597,22614,1642222191,37.208206,991.667969,31.415524,2259862,5,1,0,0
0,1903370310,22618,1642222191,35.851383,991.879211,33.488667,3287319.5,5,1,0,0
6,1903394118,22750,1642222191,37.573936,991.556091,31.250578,2525277.5,5,1,0,0
3,1903384649,22804,1642222191,36.715225,991.895813,31.962231,5214513,5,1,0,0
1,1903376405,23295,1642222192,36.165783,992.173096,33.620899,5249599.5,6,1,0,0
2,1903386950,23299,1642222192,36.516884,991.715576,32.195786,2278720.5,6,1,0,0
4,1903401543,23303,1642222192,36.990349,991.516907,31.791199,6254628.5,6,1,0,0
5,1903406917,23307,1642222192,36.806145,991.730042,32.045166,6148996,6,1,0,0
6,1903394118,23311,1642222192,37.754704,991.573242,30.997847,2396723.25,6,1,0,0
7,1903382597,23315,1642222192,37.368523,991.656067,31.281992,2121180.75,6,1,0,0
0,1903370310,23318,1642222192,35.967583,991.897034,33.36652,3093655.5,6,1,0,0
3,1903384649,23503,1642222192,36.861683,991.890198,31.861809,4840177.5,6,1,0,0
1,1903376405,23995,1642222192,36.628929,992.178833,33.537048,633075.75,7,1,0,0
2,1903386950,24000,1642222192,36.999962,991.707581,32.115952,352132.0625,7,1,0,0
4,1903401543,24003,1642222192,37.484493,991.521606,31.696695,770794.125,7,1,0,0
5,1903406917,24007,1642222192,37.297161,991.746155,31.946064,727531.0625,7,1,0,0
6,1903394118,24011,1642222192,38.251812,991.556335,30.935984,385397.0625,7,1,0,0
7,1903382597,24015,1642222192,37.882545,991.623413,31.176502,343278.5938,7,1,0,0
0,1903370310,24018,1642222192,36.414711,991.916077,33.271641,451399.5938,7,1,0,0
3,1903384649,24209,1642222193,37.343979,991.858582,31.776657,677696.875,7,1,0,0
1,1903376405,24695,1642222193,36.885674,992.185425,33.404026,735368.0625,8,1,0,0
2,1903386950,24699,1642222193,37.263,991.699646,31.980074,425514.2188,8,1,0,0
4,1903401543,24703,1642222193,37.760414,991.524963,31.581093,908808.5,8,1,0,0
5,1903406917,24707,1642222193,37.567726,991.756409,31.7973,826306.25,8,1,0,0
6,1903394118,24711,1642222193,38.540539,991.59906,30.779659,438919.8438,8,1,0,0
7,1903382597,24715,1642222193,38.180275,991.660278,31.021715,406268.5938,8,1,0,0
0,1903370310,24718,1642222193,36.631962,991.903503,33.147968,531120.3125,8,1,0,0
3,1903384649,24909,1642222193,37.611641,991.87262,31.665007,780487.8125,8,1,0,0
1,1903376405,25408,1642222194,37.024113,992.178589,33.230812,804399.0625,9,0,0,0
2,1903386950,25424,1642222194,37.414757,991.707764,31.839178,472979.2188,9,0,0,0
4,1903401543,25440,1642222194,37.933487,991.538086,31.410105,1014866.188,9,0,0,0
5,1903406917,25456,1642222194,37.743088,991.767883,31.628092,906395.25,9,0,0,0
6,1903394118,25473,1642222194,38.72382,991.592957,30.550293,470048.1875,9,0,0,0
7,1903382597,25489,1642222194,38.355858,991.624512,30.826748,441760.125,9,0,0,0
0,1903370310,25505,1642222194,36.760796,991.903198,32.96904,582811.625,9,0,0,0
3,1903384649,25521,1642222194,37.778297,991.889038,31.480625,846281,9,0,0,0
1,1903376405,26225,1642222195,36.948601,992.146606,32.962799,845233.1875,0,1,0,0
2,1903386950,26228,1642222195,37.288292,991.699036,31.533447,492071.125,0,1,0,0
5,1903406917,26234,1642222195,37.843296,991.758667,31.384132,961276.6875,0,1,0,0
6,1903394118,26238,1642222195,38.884499,991.605164,30.296093,505928.8438,0,1,0,0
4,1903401543,26371,1642222195,38.11158,991.521912,31.097746,1104340.75,0,1,0,0
