sensor_index,sensor_id,timestamp_since_poweron,real_time_clock,temperature,pressure,relative_humidity,resistance_gassensor,heater_profile_step_index,scanning_mode_enabled,label_tag,error_code
0,1903370310,4016,1638999460,30.996288,1000.628113,58.018238,59081.46875,0,1,0,0
1,1903376405,4049,1638999460,30.965641,1000.878967,58.761032,102852.5547,0,1,0,0
2,1903386950,4053,1638999460,31.076736,1000.405457,57.437561,35078.10547,0,1,0,0
3,1903384649,4057,1638999460,31.177835,1000.57782,57.349804,75627.77344,0,1,0,0
4,1903401543,4060,1638999460,30.789957,1000.200378,57.434906,143739.4688,0,1,0,0
5,1903406917,4064,1638999460,30.788891,1000.452454,57.708549,68303.09375,0,1,0,0
6,1903394118,4068,1638999460,31.184586,1000.412537,56.591869,40660.73828,0,1,0,0
7,1903382597,4072,1638999460,31.012165,1000.419128,56.52911,31295.84375,0,1,0,0
0,1903370310,4295,1638999461,30.925562,1000.683105,57.855206,2371743,1,1,0,0
1,1903376405,4329,1638999461,30.892649,1000.926453,58.633396,6356547,1,1,0,0
2,1903386950,4333,1638999461,31.104557,1000.471863,57.243843,1202583.625,1,1,0,0
3,1903384649,4337,1638999461,31.198034,1000.648254,57.234699,3768169.25,1,1,0,0
4,1903401543,4340,1638999461,30.817547,1000.283752,57.347771,9277463,1,1,0,0
5,1903406917,4345,1638999461,30.844004,1000.538513,57.619751,3611196.75,1,1,0,0
6,1903394118,4348,1638999461,31.20216,1000.532166,56.370922,1898493.625,1,1,0,0
7,1903382597,4352,1638999461,31.047785,1000.500732,56.665382,974310.1875,1,1,0,0
0,1903370310,5695,1638999462,31.276676,1000.688232,56.975437,2392523.25,2,1,0,0
1,1903376405,5729,1638999462,31.340664,1000.900696,57.718754,6247474,2,1,0,0
2,1903386950,5733,1638999462,31.514263,1000.451782,56.376808,1219773.625,2,1,0,0
3,1903384649,5737,1638999462,31.670202,1000.634583,56.289875,3755214.25,2,1,0,0
4,1903401543,5740,1638999462,31.26651,1000.294495,56.523155,9176141,2,1,0,0
5,1903406917,5744,1638999462,31.274866,1000.549988,56.754284,3529513.25,2,1,0,0
6,1903394118,5748,1638999462,31.67664,1000.557312,55.620499,1823686.5,2,1,0,0
7,1903382597,5752,1638999462,31.470173,1000.534973,55.942329,978499.75,2,1,0,0
0,1903370310,9895,1638999466,31.749039,1000.670471,54.10894,2420088.75,3,1,0,0
1,1903376405,9929,1638999466,31.922083,1000.906555,54.851891,6162874,3,1,0,0
2,1903386950,9933,1638999466,32.080776,1000.463867,53.511002,1219773.625,3,1,0,0
3,1903384649,9937,1638999466,32.314072,1000.668396,53.276146,3625581,3,1,0,0
4,1903401543,9940,1638999466,31.908606,1000.326538,53.758881,8914037,3,1,0,0
5,1903406917,9944,1638999466,31.876078,1000.535156,53.974567,3372581.25,3,1,0,0
6,1903394118,9948,1638999466,32.379574,1000.566528,52.78101,1769330.5,3,1,0,0
7,1903382597,9952,1638999466,32.136833,1000.518555,53.04097,989850.1875,3,1,0,0
0,1903370310,10596,1638999467,32.299713,1000.624268,53.817074,328099.9688,4,1,0,0
1,1903376405,10629,1638999467,32.473297,1000.909851,54.543903,658732.6875,4,1,0,0
2,1903386950,10633,1638999467,32.632118,1000.436707,53.220436,184438.0469,4,1,0,0
3,1903384649,10637,1638999467,32.907448,1000.619812,52.974236,419758.1563,4,1,0,0
4,1903401543,10640,1638999467,32.480476,1000.295654,53.468964,911843.25,4,1,0,0
5,1903406917,10644,1638999467,32.439713,1000.536255,53.667564,398211.1563,4,1,0,0
6,1903394118,10648,1638999467,32.962013,1000.575439,52.48859,225550.6563,4,1,0,0
7,1903382597,10652,1638999467,32.716988,1000.505188,52.762352,157538.4688,4,1,0,0
0,1903370310,11296,1638999468,32.671043,1000.670349,53.493328,333550.5,5,1,0,0
1,1903376405,11329,1638999468,32.886086,1000.958679,54.203461,666449.75,5,1,0,0
2,1903386950,11333,1638999468,33.029182,1000.486328,52.837082,194899.125,5,1,0,0
3,1903384649,11337,1638999468,33.334171,1000.636047,52.610378,427914.75,5,1,0,0
4,1903401543,11341,1638999468,32.904366,1000.287842,53.043129,913673.875,5,1,0,0
5,1903406917,11344,1638999468,32.870583,1000.556763,53.329174,405063.2813,5,1,0,0
6,1903394118,11348,1638999468,33.396328,1000.615112,52.117496,231831.5625,5,1,0,0
7,1903382597,11352,1638999468,33.149559,1000.548096,52.373089,163892.4531,5,1,0,0
0,1903370310,11995,1638999468,32.850391,1000.687378,53.032375,338512.4063,6,1,0,0
1,1903376405,12029,1638999468,33.079891,1000.972534,53.749474,672357.1875,6,1,0,0
2,1903386950,12033,1638999468,33.236572,1000.490417,52.401619,200156.375,6,1,0,0
3,1903384649,12037,1638999468,33.558895,1000.639832,52.147873,431976.375,6,1,0,0
4,1903401543,12040,1638999468,33.122581,1000.304749,52.646172,926068.25,6,1,0,0
5,1903406917,12044,1638999468,33.073494,1000.509766,52.908039,416683.625,6,1,0,0
6,1903394118,12048,1638999468,33.622276,1000.638672,51.68544,238973.1563,6,1,0,0
7,1903382597,12052,1638999468,33.355671,1000.542725,51.965336,169256.2031,6,1,0,0
4,1903401543,12600,1638999469,33.436108,1000.302185,52.339748,223923.0313,7,1,0,0
0,1903370310,12696,1638999469,33.133308,1000.68512,52.638699,87134.10156,7,1,0,0
1,1903376405,12729,1638999469,33.369347,1000.91864,53.366928,147848.6875,7,1,0,0
2,1903386950,12733,1638999469,33.537537,1000.446289,51.922138,57918.55078,7,1,0,0
3,1903384649,12737,1638999469,33.85685,1000.601135,51.7029,125183.375,7,1,0,0
5,1903406917,12743,1638999469,33.379116,1000.510193,52.51479,117269.8125,7,1,0,0
6,1903394118,12748,1638999469,33.948647,1000.619507,51.287403,71329.0625,7,1,0,0
7,1903382597,12752,1638999469,33.69664,1000.544434,51.513035,53792.8125,7,1,0,0
4,1903401543,13300,1638999470,33.854984,1000.32489,51.882984,336842.0938,8,1,0,0
7,1903382597,13311,1638999470,34.144485,1000.543518,51.140278,92219.02344,8,1,0,0
0,1903370310,13396,1638999470,33.509689,1000.670105,52.245857,136715.625,8,1,0,0
1,1903376405,13429,1638999470,33.779621,1000.912109,52.920055,225699.7969,8,1,0,0
2,1903386950,13433,1638999470,33.957371,1000.444092,51.562935,98178.32813,8,1,0,0
3,1903384649,13437,1638999470,34.30883,1000.650391,51.286549,208214.7188,8,1,0,0
5,1903406917,13444,1638999470,33.822517,1000.548401,52.12257,195569.1406,8,1,0,0
6,1903394118,13448,1638999470,34.380459,1000.560303,50.846821,121615.2031,8,1,0,0
1,1903376405,13989,1638999470,34.001118,1000.928711,52.491146,291904.2188,9,1,0,0
4,1903401543,13999,1638999470,34.100792,1000.344482,51.434433,439484.9688,9,1,0,0
7,1903382597,14011,1638999470,34.388763,1000.526123,50.656696,129456.3828,9,1,0,0
0,1903370310,14096,1638999470,33.704201,1000.67334,51.815086,181303.1094,9,1,0,0
2,1903386950,14132,1638999470,34.179935,1000.470886,51.112465,132470.8906,9,1,0,0
3,1903384649,14137,1638999470,34.54871,1000.655518,50.796589,279475.9688,9,1,0,0
5,1903406917,14143,1638999470,34.055492,1000.538391,51.600475,263306.75,9,1,0,0
6,1903394118,14148,1638999470,34.634026,1000.608826,50.38863,166775.25,9,1,0,0
0,1903370310,14730,1638999471,33.835552,1000.68219,51.337669,226900.0625,0,1,0,0
1,1903376405,14734,1638999471,34.154655,1000.932922,51.99678,349249.6563,0,1,0,0
2,1903386950,14738,1638999471,34.334209,1000.445007,50.653343,166125.8906,0,1,0,0
3,1903384649,14742,1638999471,34.722939,1000.660522,50.266754,341903.1875,0,1,0,0
4,1903401543,14746,1638999471,34.268848,1000.320679,50.963203,520589.7188,0,1,0,0
5,1903406917,14750,1638999471,34.225842,1000.534119,51.17131,319202,0,1,0,0
6,1903394118,14754,1638999471,34.812279,1000.596802,49.914536,210786.3281,0,1,0,0
7,1903382597,14757,1638999471,34.569431,1000.541199,50.158947,160652.6563,0,1,0,0
0,1903370310,15170,1638999471,33.431381,1000.701477,51.037395,13094106,1,1,0,0
1,1903376405,15174,1638999471,33.759483,1000.997498,51.721409,53368080,1,1,0,0
2,1903386950,15177,1638999471,33.939667,1000.506409,50.362377,10224025,1,1,0,0
3,1903384649,15181,1638999471,34.329033,1000.733276,49.977566,43458884,1,1,0,0
4,1903401543,15185,1638999471,33.905148,1000.399841,50.684982,70167024,1,1,0,0
5,1903406917,15188,1638999471,33.84256,1000.594421,50.923393,36952916,1,1,0,0
6,1903394118,15192,1638999471,34.425652,1000.648438,49.619267,25206154,1,1,0,0
7,1903382597,15196,1638999471,34.177563,1000.592529,49.863552,9293250,1,1,0,0
0,1903370310,16441,1638999473,32.607887,1000.679382,50.162968,12395688,2,1,0,0
1,1903376405,16445,1638999473,32.888603,1000.9505,50.812355,40972804,2,1,0,0
2,1903386950,16449,1638999473,33.059532,1000.494873,49.446697,8728823,2,1,0,0
3,1903384649,16453,1638999473,33.37962,1000.655029,49.045467,32866600,2,1,0,0
4,1903401543,16456,1638999473,33.022251,1000.303101,49.77634,60000916,2,1,0,0
5,1903406917,16460,1638999473,32.94323,1000.55249,50.018177,29335720,2,1,0,0
6,1903394118,16464,1638999473,33.579597,1000.630066,48.74268,17842636,2,1,0,0
7,1903382597,16467,1638999473,33.314957,1000.516052,48.961464,7890200,2,1,0,0
1,1903376405,20504,1638999477,32.886086,1000.951599,49.767178,37980876,3,1,0,0
4,1903401543,20515,1638999477,33.072414,1000.310974,48.817799,55118588,3,1,0,0
7,1903382597,20526,1638999477,33.465084,1000.532898,47.923401,7701057.5,3,1,0,0
0,1903370310,20641,1638999477,32.691246,1000.670776,49.257595,12523600,3,1,0,0
2,1903386950,20647,1638999477,33.051949,1000.490906,48.451778,8399897,3,1,0,0
3,1903384649,20652,1638999477,33.308922,1000.634521,47.97979,32451596,3,1,0,0
5,1903406917,20659,1638999477,32.983315,1000.521545,49.053337,30041714,3,1,0,0
6,1903394118,20664,1638999477,33.727718,1000.587158,47.69474,16532795,3,1,0,0
0,1903370310,21200,1638999477,33.353073,1000.659607,49.244839,1405628,4,1,0,0
1,1903376405,21204,1638999477,33.553089,1000.920532,49.764545,2684141.5,4,1,0,0
2,1903386950,21208,1638999477,33.712044,1000.442322,48.457394,999268.125,4,1,0,0
4,1903401543,21216,1638999477,33.769707,1000.322083,48.792183,3858690.5,4,1,0,0
7,1903382597,21226,1638999477,34.157207,1000.525757,47.908012,928587.625,4,1,0,0
3,1903384649,21351,1638999478,34.003304,1000.601318,47.996277,2290187.25,4,1,0,0
5,1903406917,21359,1638999478,33.674721,1000.512817,49.021938,2139462,4,1,0,0
6,1903394118,21364,1638999478,34.433182,1000.552002,47.667992,1334202,4,1,0,0
0,1903370310,21900,1638999478,33.625889,1000.688721,49.141739,1377269.625,5,1,0,0
1,1903376405,21904,1638999478,33.819893,1000.926086,49.639404,2599809.5,5,1,0,0
2,1903386950,21908,1638999478,33.977604,1000.439209,48.322159,979904.3125,5,1,0,0
4,1903401543,21915,1638999478,34.070694,1000.327881,48.676083,3704273,5,1,0,0
7,1903382597,21927,1638999478,34.454922,1000.495667,47.771431,916126.125,5,1,0,0
3,1903384649,22051,1638999478,34.306305,1000.631958,47.835617,2173520.75,5,1,0,0
5,1903406917,22060,1638999478,33.965309,1000.52417,49.036186,2065036.5,5,1,0,0
6,1903394118,22064,1638999478,34.741982,1000.576721,47.519638,1314927.75,5,1,0,0
0,1903370310,22600,1638999479,33.754719,1000.686523,48.943092,1350033,6,1,0,0
1,1903376405,22604,1638999479,33.958328,1000.906921,49.428688,2539367.75,6,1,0,0
2,1903386950,22608,1638999479,34.126823,1000.458008,48.108364,965354.6875,6,1,0,0
4,1903401543,22615,1638999479,34.23373,1000.324097,48.460274,3611196.75,6,1,0,0
7,1903382597,22626,1638999479,34.622868,1000.523254,47.517265,889274.875,6,1,0,0
3,1903384649,22751,1638999479,34.460335,1000.640991,47.730549,2054162.5,6,1,0,0
5,1903406917,22759,1638999479,34.130646,1000.523987,48.71701,1992702.5,6,1,0,0
6,1903394118,22764,1638999479,34.920231,1000.587341,47.278557,1238584.875,6,1,0,0
0,1903370310,23300,1638999480,34.204361,1000.662659,48.781284,233896.75,7,1,0,0
1,1903376405,23304,1638999480,34.429012,1000.919983,49.256889,360690.375,7,1,0,0
2,1903386950,23308,1638999480,34.617474,1000.440613,47.977894,173736,7,1,0,0
4,1903401543,23315,1638999480,34.720333,1000.291626,48.300316,541655.625,7,1,0,0
7,1903382597,23326,1638999480,35.147057,1000.501404,47.347908,168421.0469,7,1,0,0
3,1903384649,23451,1638999480,34.942619,1000.633484,47.437008,358041.9688,7,1,0,0
5,1903406917,23459,1638999480,34.624153,1000.537109,48.535126,331606.2188,7,1,0,0
6,1903394118,23464,1638999480,35.414814,1000.586609,47.098122,222318.7188,7,1,0,0
0,1903370310,24000,1638999480,34.431709,1000.684143,48.545315,279934.375,8,1,0,0
1,1903376405,24004,1638999480,34.688271,1000.926086,49.01939,431703.2188,8,1,0,0
2,1903386950,24008,1638999480,34.880505,1000.430054,47.747852,217225.2813,8,1,0,0
4,1903401543,24015,1638999480,34.993736,1000.273254,48.055744,629572.6875,8,1,0,0
7,1903382597,24026,1638999480,35.432049,1000.496643,47.090626,210526.3125,8,1,0,0
3,1903384649,24151,1638999480,35.227951,1000.625061,47.274208,429800.625,8,1,0,0
5,1903406917,24159,1638999480,34.902225,1000.533386,48.305866,400547.625,8,1,0,0
6,1903394118,24164,1638999480,35.708549,1000.611755,46.84103,267223.375,8,1,0,0
0,1903370310,24700,1638999481,34.568119,1000.67218,48.284698,318903.7813,9,1,0,0
1,1903376405,24704,1638999481,34.844322,1000.958984,48.768124,480638.3438,9,1,0,0
2,1903386950,24708,1638999481,35.042374,1000.464294,47.473083,247462.5469,9,1,0,0
4,1903401543,24715,1638999481,35.171822,1000.276062,47.767475,703538.3125,9,1,0,0
5,1903406917,24720,1638999481,35.077583,1000.492737,48.044476,454102,9,1,0,0
7,1903382597,24726,1638999481,35.617805,1000.528198,46.76416,242194.8906,9,1,0,0
3,1903384649,24852,1638999481,35.40723,1000.64325,46.978653,486807.6875,9,1,0,0
6,1903394118,24863,1638999481,35.899357,1000.622803,46.520409,304128.3125,9,1,0,0
0,1903370310,25400,1638999482,34.669163,1000.660522,47.988033,351407,0,1,0,0
1,1903376405,25404,1638999482,34.967659,1000.972717,48.463295,525802.3125,0,1,0,0
2,1903386950,25408,1638999482,35.156185,1000.451294,47.186005,275862.0625,0,1,0,0
4,1903401543,25415,1638999482,35.30978,1000.298889,47.461769,764321.6875,0,1,0,0
5,1903406917,25420,1638999482,35.220375,1000.488892,47.723377,499634.0625,0,1,0,0
7,1903382597,25426,1638999482,35.765396,1000.532104,46.451897,268695.875,0,1,0,0
3,1903384649,25551,1638999482,35.528435,1000.637634,46.68832,535704.9375,0,1,0,0
6,1903394118,25563,1638999482,36.027397,1000.575317,46.047882,339185.1563,0,1,0,0
0,1903370310,25681,1638999482,34.270039,1000.698425,47.789768,25771136,1,1,0,0
1,1903376405,25685,1638999482,34.549831,1000.974304,48.271591,93223328,1,1,0,0
2,1903386950,25689,1638999482,34.774284,1000.49469,46.991348,17886462,1,1,0,0
4,1903401543,25695,1638999482,34.915977,1000.327698,47.285366,102400000,1,1,0,0
5,1903406917,25700,1638999482,34.829575,1000.55249,47.609833,63813048,1,1,0,0
7,1903382597,25706,1638999482,35.368435,1000.554504,46.219151,16943124,1,1,0,0
3,1903384649,25831,1638999482,35.109272,1000.662842,46.577442,81639368,1,1,0,0
6,1903394118,25843,1638999482,35.615658,1000.647949,45.969513,43851456,1,1,0,0
0,1903370310,27080,1638999483,33.39349,1000.663818,47.252541,25893322,2,1,0,0
1,1903376405,27084,1638999483,33.6437,1000.951355,47.671669,84644496,2,1,0,0
2,1903386950,27089,1638999483,33.828384,1000.437927,46.398697,17626682,2,1,0,0
3,1903384649,27092,1638999483,34.132076,1000.628357,45.934856,75112896,2,1,0,0
4,1903401543,27096,1638999483,33.997955,1000.305359,46.663128,102400000,2,1,0,0
5,1903406917,27100,1638999483,33.902683,1000.526367,46.928082,59877568,2,1,0,0
7,1903382597,27107,1638999483,34.454922,1000.525574,45.572651,16697070,2,1,0,0
6,1903394118,27243,1638999483,34.724407,1000.581299,45.287285,39527140,2,1,0,0
4,1903401543,31155,1638999487,33.957821,1000.307312,46.237728,102400000,3,1,0,0
0,1903370310,31281,1638999487,33.385914,1000.674927,46.987671,25411400,3,1,0,0
1,1903376405,31284,1638999487,33.543022,1000.930298,47.333462,75242248,3,1,0,0
2,1903386950,31289,1638999487,33.747452,1000.436279,46.094814,17655172,3,1,0,0
3,1903384649,31293,1638999488,33.965427,1000.593018,45.591225,64377212,3,1,0,0
5,1903406917,31299,1638999488,33.855083,1000.530945,46.474258,54567860,3,1,0,0
6,1903394118,31304,1638999488,34.752022,1000.552734,44.756168,33991700,3,1,0,0
7,1903382597,31307,1638999488,34.477825,1000.501709,45.098122,16786886,3,1,0,0
4,1903401543,31855,1638999488,34.645088,1000.279602,46.283089,6016893,4,1,0,0
0,1903370310,31981,1638999488,34.055321,1000.623901,47.068489,2369684.75,4,1,0,0
1,1903376405,31984,1638999488,34.20248,1000.895447,47.407581,4385439,4,1,0,0
2,1903386950,31989,1638999488,34.397438,1000.423828,46.253288,1767040.5,4,1,0,0
3,1903384649,31992,1638999488,34.657288,1000.599365,45.667053,3812892.75,4,1,0,0
5,1903406917,31999,1638999488,34.528961,1000.498779,46.555305,3589833.5,4,1,0,0
6,1903394118,32004,1638999488,35.442429,1000.556152,44.799843,2239475,4,1,0,0
7,1903382597,32007,1638999488,35.172501,1000.486694,45.006462,1681100,4,1,0,0
4,1903401543,32555,1638999489,34.93354,1000.280823,46.202953,5651604,5,1,0,0
0,1903370310,32681,1638999489,34.305405,1000.620911,47.013111,2259862,5,1,0,0
1,1903376405,32684,1638999489,34.461735,1000.915894,47.392563,4206418.5,5,1,0,0
2,1903386950,32689,1638999489,34.663002,1000.435425,46.043854,1696768.875,5,1,0,0
3,1903384649,32692,1638999489,34.950191,1000.628357,45.623901,3573391.5,5,1,0,0
5,1903406917,32699,1638999489,34.82206,1000.502869,46.476803,3364271,5,1,0,0
6,1903394118,32704,1638999489,35.741188,1000.589417,44.676056,2117890.5,5,1,0,0
7,1903382597,32707,1638999489,35.460041,1000.502075,44.987175,1566348,5,1,0,0
1,1903376405,33243,1638999489,34.597652,1000.927734,47.275459,3997072.5,6,1,0,0
4,1903401543,33255,1638999489,35.099083,1000.273438,46.038994,5454061.5,6,1,0,0
